Function Name,Ttime,Tcycle,Count
main,1145496356,572748178,2
thread_kws_serv,1075969656,537984828,64
mfcc_compute,829151880,414575940,124
fft,622474734,311237367,124
compute,620747910,310373955,124
__mulsf3,458621822,229310911,4455278
cosf,261208884,130604442,105656
mfcc_create,242168576,121084288,64
__subsf3,203704626,101852313,2354158
__addsf3,191675528,95837764,2657832
__kernel_cosf,182369072,91184536,90280
__kernel_sinf,163786668,81893334,88616
sinf,126851256,63425628,54808
__ieee754_rem_pio2f,99894928,49947464,142032
create_dct_matrix,75727360,37863680,64
nnom_predict,65155650,32577825,2
model_run_to,65153246,32576623,2
layer_run,65152852,32576426,22
conv2d_run,63642016,31821008,8
local_convolve_HWC_q7_nonsquare,63641424,31820712,8
create_mel_fbank,50572608,25286304,64
__divsf3,43163286,21581643,172750
pow,26911040,13455520,1792
__ieee754_pow,26678080,13339040,1792
__clzsi2,24440064,12220032,1467480
memset,20388600,10194300,2556
mfcc_malloc,15944128,7972064,2368
__muldf3,13467328,6733664,66432
__floatsisf,12510320,6255160,262426
logf,9584870,4792435,3352
__ieee754_logf,9346878,4673439,3352
__subdf3,6063616,3031808,50368
__adddf3,4817984,2408992,47744
platform_init_heap,3686472,1843236,2
merge,2843908,1421954,4740
mfcc_delete,2825344,1412672,64
memcpy,2611346,1305673,268
__floatunsisf,2508768,1254384,63364
__fixsfsi,1969628,984814,90506
__divdf3,1886720,943360,3712
rearrange,1723724,861862,124
quantize_data,1318604,659302,124
maxpool_run,1026932,513466,4
local_maxpool_q7_HWC,1026760,513380,4
my_malloc,955190,477595,2426
log10,666048,333024,128
__ieee754_log10,654272,327136,128
__ieee754_log,547904,273952,128
powf,469312,234656,64
__ieee754_powf,462400,231200,64
floor,352448,176224,1792
relu_run,288416,144208,8
local_relu_q7,288016,144008,8
__truncdfsf2,248716,124358,5200
nnom_mem,235126,117563,58
model_compile,227394,113697,2
dense_run,177630,88815,2
local_fully_connected_q7_opt,177506,88753,2
__extendsfdf2,177176,88588,6560
fabsf,136336,68168,68168
__floatsidf,101120,50560,2048
round,81628,40814,2976
__lesf2,77512,38756,3168
__gesf2,77096,38548,3352
__eqdf2,75264,37632,3584
__eqsf2,63024,31512,3480
__gedf2,59136,29568,1792
__unordsf2,55680,27840,3480
sqrtf,40960,20480,64
__fixdfsi,36780,18390,1488
__ieee754_sqrtf,36416,18208,64
compile_layers,29714,14857,2
__unorddf2,28800,14400,1920
input_s,24008,12004,4
new_tensor,19090,9545,26
printf,19006,9503,16
__vprintf,18686,9343,16
__heap_status,15038,7519,4
output_s,13530,6765,2
input_run,13494,6747,2
unumprint.isra.0,11956,5978,28
conv2d_s,10108,5054,8
conv2d_build,9264,4632,8
finite,8960,4480,1792
fabs,8960,4480,1792
maxpool_s,4816,2408,4
MaxPool,4584,2292,4
__ledf2,4480,2240,128
maxpool_build,4264,2132,4
puts,4202,2101,162
softmax_run,3118,1559,2
tensor_cpy_attr,3060,1530,18
local_softmax_q7,3046,1523,2
tensor_size,2314,1157,166
act_relu,2264,1132,8
dense_s,2228,1114,2
dense_build,2082,1041,2
flatten_build,2016,1008,2
default_build,1976,988,2
softmax_build,1954,977,2
ceilf,1920,960,64
softmax_s,1852,926,2
input_build,1844,922,2
Softmax,1826,913,2
flatten_s,1804,902,2
new_model,1778,889,2
Flatten,1778,889,2
putchar,996,498,332
conv_output_length,720,360,16
output_run,698,349,2
tensor_mem_set,690,345,2
model_hook,660,330,20
tensor_set_attr,564,282,4
nnom_alignto,536,268,160
heap_usage,466,233,4
tensor_set_attr_v,344,172,4
finitef,256,128,64
allocate_block,228,114,24
set_tailed_activation,216,108,2
tensor_get_num_channel,140,70,20
release_comp_mem.isra.0,110,55,22
io_init,88,44,44
mem_analysis_result,84,42,2
kernel,84,42,12
stride,84,42,12
block_mem_set,70,35,2
dilation,56,28,8
act_get_dec_bit,40,20,8
shape,32,16,4
model_active,16,8,8
release_input_mem.isra.0,16,8,24
check_model_version,4,2,2
flatten_run,2,1,2
_vectors_start,0,0,0
default_exc_handler,0,0,0
timer_handler,0,0,0
reset_handler,0,0,1
_start,0,0,1
zero_loop,0,0,1778
main_entry,0,0,1
sleep_loop,0,0,1
nanf,0,0,0
nan,0,0,0
scalbnf,0,0,0
with_errnof,0,0,0
xflowf,0,0,0
__math_uflowf,0,0,0
__math_oflowf,0,0,0
__math_divzerof,0,0,0
__math_invalidf,0,0,0
__kernel_rem_pio2f,0,0,0
scalbn,0,0,0
__ieee754_sqrt,0,0,0
with_errno,0,0,0
xflow,0,0,0
__math_uflow,0,0,0
__math_may_uflow,0,0,0
__math_oflow,0,0,0
__math_divzero,0,0,0
__math_invalid,0,0,0
__math_check_uflow,0,0,0
__math_check_oflow,0,0,0
floorf,0,0,0
__ashrdi3,0,0,0
__divdi3,0,0,0
puthex,0,0,0
sim_halt,0,0,0
pcount_reset,0,0,0
get_mepc,0,0,0
get_mcause,0,0,0
get_mtval,0,0,0
simple_exc_handler,0,0,0
timer_disable,0,0,0
timer_read,0,0,0
timecmp_update,0,0,0
timer_enable,0,0,0
get_elapsed_time,0,0,0
simple_timer_handler,0,0,0
Error_Handler,0,0,0
alg_deconv2d_calculate_position,0,0,0
local_avepool_q7_HWC,0,0,0
local_avepool_q7_CHW,0,0,0
local_maxpool_q7_CHW,0,0,0
local_sumpool_q7_HWC,0,0,0
local_sumpool_q7_CHW,0,0,0
local_up_sampling_q7_HWC,0,0,0
local_up_sampling_q7_CHW,0,0,0
local_convolve_CHW_q7_nonsquare,0,0,0
local_conv_trans_HWC_q7_nonsquare,0,0,0
local_depthwise_separable_conv_HWC_q7_nonsquare,0,0,0
local_depthwise_separable_conv_CHW_q7_nonsquare,0,0,0
local_zero_padding_HWC_q7,0,0,0
local_zero_padding_CHW_q7,0,0,0
local_cropping_HWC_q7,0,0,0
local_cropping_CHW_q7,0,0,0
local_dot_q7_opt,0,0,0
local_dot_q7,0,0,0
local_fully_connected_q7,0,0,0
local_hard_sigmoid_q7,0,0,0
local_hard_tanh_q7,0,0,0
local_sigmoid_q7,0,0,0
local_tanh_q7,0,0,0
local_leaky_relu_q7,0,0,0
local_adv_relu_q7,0,0,0
local_mult_q7,0,0,0
local_add_q7,0,0,0
local_sub_q7,0,0,0
local_multiple_add_q7,0,0,0
local_multiple_mult_q7,0,0,0
local_multiple_sub_q7,0,0,0
local_q7_to_q15_no_shift,0,0,0
local_q7_to_q15,0,0,0
local_q15_to_q7,0,0,0
local_activation_q15,0,0,0
local_avepool_q15_HWC,0,0,0
local_avepool_q15_CHW,0,0,0
local_maxpool_q15_HWC,0,0,0
local_maxpool_q15_CHW,0,0,0
local_sumpool_q15_HWC,0,0,0
local_sumpool_q15_CHW,0,0,0
local_up_sampling_q15_HWC,0,0,0
local_up_sampling_q15_CHW,0,0,0
local_convolve_HWC_q15_nonsquare,0,0,0
local_convolve_CHW_q15_nonsquare,0,0,0
local_conv_trans_HWC_q15_nonsquare,0,0,0
local_depthwise_separable_conv_HWC_q15_nonsquare,0,0,0
local_depthwise_separable_conv_CHW_q15_nonsquare,0,0,0
local_zero_padding_HWC_q15,0,0,0
local_zero_padding_CHW_q15,0,0,0
local_cropping_HWC_q15,0,0,0
local_cropping_CHW_q15,0,0,0
local_dot_q15,0,0,0
local_dot_q15_opt,0,0,0
local_fully_connected_mat_q7_vec_q15_opt,0,0,0
local_fully_connected_mat_q7_vec_q15,0,0,0
local_softmax_q15,0,0,0
