Function Name,Start Address,Return Addresses
_vectors_start      ,100000    ,
default_exc_handler ,100084    ,
timer_handler       ,100088    ,
reset_handler       ,10008c    ,
_start              ,100110    ,
zero_loop           ,100124    ,
main_entry          ,100130    ,
sleep_loop          ,10014c    ,
logf                ,100154    ,1001a4
powf                ,1001c2    ,100262
sqrtf               ,10026e    ,1002b4
__ieee754_sqrtf     ,1002b6    ,1002f4
nanf                ,1003c4    ,1003cc
floor               ,1003ce    ,1004ac
ceilf               ,10050e    ,1005b8
cosf                ,1005c0    ,1005fc
sinf                ,100634    ,100674
round               ,1006ac    ,"1006e6, 100738"
finitef             ,100768    ,100774
log10               ,100776    ,1007e0
pow                 ,100804    ,1008e0
__kernel_cosf       ,1008f0    ,1009e6
__ieee754_logf      ,100a26    ,100a64
__ieee754_powf      ,100cf8    ,100df4
__ieee754_rem_pio2f ,1014a6    ,101540
nan                 ,1017e0    ,1017ec
__kernel_sinf       ,1017ee    ,1018bc
fabsf               ,101908    ,10190c
finite              ,10190e    ,10191c
scalbnf             ,10191e    ,"1019c8, 101a04"
__ieee754_log10     ,101a06    ,101a50
__ieee754_pow       ,101b2c    ,101bac
with_errnof         ,1025ca    ,1025e6
xflowf              ,1025e8    ,
__math_uflowf       ,102606    ,
__math_oflowf       ,102610    ,
__math_divzerof     ,10261a    ,
__math_invalidf     ,102644    ,102680
__kernel_rem_pio2f  ,102682    ,102b7e
scalbn              ,102cb4    ,102d7a
__ieee754_sqrt      ,102dcc    ,102e1c
with_errno          ,102fd2    ,102ff8
xflow               ,102ffa    ,
__math_uflow        ,10302e    ,
__math_may_uflow    ,10303c    ,
__math_oflow        ,10304a    ,
__math_divzero      ,103058    ,
__math_invalid      ,103092    ,1030ea
__math_check_uflow  ,1030ec    ,103120
__math_check_oflow  ,103122    ,103190
floorf              ,103192    ,10323c
fabs                ,103242    ,10324e
__ieee754_log       ,103250    ,1032b2
__ashrdi3           ,10364e    ,103668
__divdi3            ,10367a    ,10383a
__adddf3            ,103a22    ,104002
__divdf3            ,10402c    ,104482
__eqdf2             ,10456a    ,"1045a6, 1045ce, 1045d2"
__gedf2             ,1045d4    ,"10460e, 10463c, 104644, 10464c, 104660, 104664"
__ledf2             ,10467a    ,"1046b4, 1046e2, 1046ea, 1046f2, 104706, 10470a"
__muldf3            ,104720    ,104a90
__subdf3            ,104b60    ,105152
__unorddf2          ,10517c    ,1051b4
__fixdfsi           ,1051b6    ,"1051e4, 105208, 105218"
__floatsidf         ,10521a    ,10526e
__addsf3            ,105282    ,10559c
__divsf3            ,1055a8    ,105770
__eqsf2             ,1057fa    ,"105830, 10584c"
__gesf2             ,10584e    ,"10587a, 105896, 10589e, 1058a6, 1058b2, 1058b6"
__lesf2             ,1058c6    ,"1058f2, 10590e, 105916, 10591e, 10592a, 10592e"
__mulsf3            ,10593e    ,105b5e
__subsf3            ,105b60    ,105e86
__unordsf2          ,105e92    ,105ec4
__fixsfsi           ,105ec6    ,"105ef6, 105f12, 105f24"
__floatsisf         ,105f26    ,105f76
__floatunsisf       ,105fe0    ,106018
__extendsfdf2       ,10607a    ,1060c4
__truncdfsf2        ,106110    ,106214
__clzsi2            ,10622c    ,106258
putchar             ,106268    ,106274
puts                ,106278    ,106288
puthex              ,106298    ,1062c0
sim_halt            ,1062cc    ,1062d8
pcount_reset        ,1062dc    ,1063d4
get_mepc            ,1063d8    ,1063dc
get_mcause          ,1063e0    ,1063e4
get_mtval           ,1063e8    ,1063ec
simple_exc_handler  ,1063f0    ,
timer_disable       ,106464    ,10646c
timer_read          ,106470    ,106484
timecmp_update      ,106488    ,10649c
timer_enable        ,1064a0    ,106518
get_elapsed_time    ,10651c    ,10652c
simple_timer_handler,106530    ,106614
Error_Handler       ,106618    ,106618
quantize_data       ,10661c    ,1066c0
thread_kws_serv     ,106740    ,
main                ,1068f8    ,106c44
alg_deconv2d_calculate_position,109e50    ,109ec4
