Function Name,Tcycle,Count,Tcycle_per_Count
main,572748178,2,286374089.0
thread_kws_serv,537984828,64,8406012.9375
mfcc_compute,414575940,124,3343354.35483871
fft,311237367,124,2509978.7661290322
compute,310373955,124,2503015.7661290322
__mulsf3,229310911,4455278,51.46949550622879
cosf,130604442,105656,1236.1289657000075
mfcc_create,121084288,64,1891942.0
__subsf3,101852313,2354158,43.26485860337326
__addsf3,95837764,2657832,36.05862372038564
__kernel_cosf,91184536,90280,1010.0192290651307
__kernel_sinf,81893334,88616,924.1371084228582
sinf,63425628,54808,1157.2330316742082
__ieee754_rem_pio2f,49947464,142032,351.66345612256396
create_dct_matrix,37863680,64,591620.0
nnom_predict,32577825,2,16288912.5
model_run_to,32576623,2,16288311.5
layer_run,32576426,22,1480746.6363636365
conv2d_run,31821008,8,3977626.0
local_convolve_HWC_q7_nonsquare,31820712,8,3977589.0
create_mel_fbank,25286304,64,395098.5
__divsf3,21581643,172750,124.92991606367583
pow,13455520,1792,7508.660714285715
__ieee754_pow,13339040,1792,7443.660714285715
__clzsi2,12220032,1467480,8.32722217679287
memset,10194300,2556,3988.3802816901407
mfcc_malloc,7972064,2368,3366.5810810810813
__muldf3,6733664,66432,101.36175337186899
__floatsisf,6255160,262426,23.83590040620975
logf,4792435,3352,1429.724045346062
__ieee754_logf,4673439,3352,1394.224045346062
__subdf3,3031808,50368,60.19313850063532
__adddf3,2408992,47744,50.456434316353885
platform_init_heap,1843236,2,921618.0
merge,1421954,4740,299.9902953586498
mfcc_delete,1412672,64,22073.0
memcpy,1305673,268,4871.914179104478
__floatunsisf,1254384,63364,19.79647749510763
__fixsfsi,984814,90506,10.88120124632621
__divdf3,943360,3712,254.13793103448276
rearrange,861862,124,6950.5
quantize_data,659302,124,5316.951612903225
maxpool_run,513466,4,128366.5
local_maxpool_q7_HWC,513380,4,128345.0
my_malloc,477595,2426,196.86521022258862
log10,333024,128,2601.75
__ieee754_log10,327136,128,2555.75
__ieee754_log,273952,128,2140.25
powf,234656,64,3666.5
__ieee754_powf,231200,64,3612.5
floor,176224,1792,98.33928571428571
relu_run,144208,8,18026.0
local_relu_q7,144008,8,18001.0
__truncdfsf2,124358,5200,23.915
nnom_mem,117563,58,2026.948275862069
model_compile,113697,2,56848.5
dense_run,88815,2,44407.5
local_fully_connected_q7_opt,88753,2,44376.5
__extendsfdf2,88588,6560,13.504268292682926
fabsf,68168,68168,1.0
__floatsidf,50560,2048,24.6875
round,40814,2976,13.714381720430108
__lesf2,38756,3168,12.233585858585858
__gesf2,38548,3352,11.5
__eqdf2,37632,3584,10.5
__eqsf2,31512,3480,9.055172413793104
__gedf2,29568,1792,16.5
__unordsf2,27840,3480,8.0
sqrtf,20480,64,320.0
__fixdfsi,18390,1488,12.358870967741936
__ieee754_sqrtf,18208,64,284.5
compile_layers,14857,2,7428.5
__unorddf2,14400,1920,7.5
input_s,12004,4,3001.0
new_tensor,9545,26,367.11538461538464
printf,9503,16,593.9375
__vprintf,9343,16,583.9375
__heap_status,7519,4,1879.75
output_s,6765,2,3382.5
input_run,6747,2,3373.5
unumprint.isra.0,5978,28,213.5
conv2d_s,5054,8,631.75
conv2d_build,4632,8,579.0
finite,4480,1792,2.5
fabs,4480,1792,2.5
maxpool_s,2408,4,602.0
MaxPool,2292,4,573.0
__ledf2,2240,128,17.5
maxpool_build,2132,4,533.0
puts,2101,162,12.969135802469136
softmax_run,1559,2,779.5
tensor_cpy_attr,1530,18,85.0
local_softmax_q7,1523,2,761.5
tensor_size,1157,166,6.969879518072289
act_relu,1132,8,141.5
dense_s,1114,2,557.0
dense_build,1041,2,520.5
flatten_build,1008,2,504.0
default_build,988,2,494.0
softmax_build,977,2,488.5
ceilf,960,64,15.0
softmax_s,926,2,463.0
input_build,922,2,461.0
Softmax,913,2,456.5
flatten_s,902,2,451.0
new_model,889,2,444.5
Flatten,889,2,444.5
putchar,498,332,1.5
conv_output_length,360,16,22.5
output_run,349,2,174.5
tensor_mem_set,345,2,172.5
model_hook,330,20,16.5
tensor_set_attr,282,4,70.5
nnom_alignto,268,160,1.675
heap_usage,233,4,58.25
tensor_set_attr_v,172,4,43.0
finitef,128,64,2.0
allocate_block,114,24,4.75
set_tailed_activation,108,2,54.0
tensor_get_num_channel,70,20,3.5
release_comp_mem.isra.0,55,22,2.5
io_init,44,44,1.0
mem_analysis_result,42,2,21.0
kernel,42,12,3.5
stride,42,12,3.5
block_mem_set,35,2,17.5
dilation,28,8,3.5
act_get_dec_bit,20,8,2.5
shape,16,4,4.0
model_active,8,8,1.0
release_input_mem.isra.0,8,24,0.3333333333333333
check_model_version,2,2,1.0
flatten_run,1,2,0.5
_vectors_start,0,0,
default_exc_handler,0,0,
timer_handler,0,0,
reset_handler,0,1,0.0
_start,0,1,0.0
zero_loop,0,1778,0.0
main_entry,0,1,0.0
sleep_loop,0,1,0.0
nanf,0,0,
,0,0,
scalbnf,0,0,
with_errnof,0,0,
xflowf,0,0,
__math_uflowf,0,0,
__math_oflowf,0,0,
__math_divzerof,0,0,
__math_invalidf,0,0,
__kernel_rem_pio2f,0,0,
scalbn,0,0,
__ieee754_sqrt,0,0,
with_errno,0,0,
xflow,0,0,
