Function Name,Start Count,Time Difference,Cycle Difference
logf,28,1208,604
logf,28,1202,601
logf,28,5924,2962
logf,28,5840,2920
logf,28,5816,2908
logf,28,5930,2965
logf,28,5962,2981
logf,28,5796,2898
logf,28,5962,2981
logf,28,5820,2910
logf,28,5818,2909
logf,28,5826,2913
logf,28,5824,2912
logf,28,5836,2918
logf,28,5968,2984
logf,28,5928,2964
logf,28,5938,2969
logf,28,5906,2953
logf,28,5830,2915
logf,28,5836,2918
logf,28,5858,2929
logf,28,5830,2915
logf,28,5900,2950
logf,28,5912,2956
logf,28,5810,2905
logf,28,5964,2982
logf,28,5868,2934
logf,28,6452,3226
powf,1,14666,7333
sqrtf,1,1280,640
__ieee754_sqrtf,1,1138,569
floor,28,376,188
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
floor,28,394,197
ceilf,1,60,30
cosf,338,80030,40015
cosf,338,78446,39223
cosf,338,76862,38431
cosf,338,75278,37639
cosf,338,73694,36847
cosf,338,72110,36055
cosf,338,70526,35263
cosf,338,68942,34471
cosf,338,67358,33679
cosf,338,65774,32887
cosf,338,64190,32095
cosf,338,62606,31303
cosf,338,61022,30511
cosf,338,59438,29719
cosf,338,57854,28927
cosf,338,56270,28135
cosf,338,54682,27341
cosf,338,53098,26549
cosf,338,51514,25757
cosf,338,49930,24965
cosf,338,48346,24173
cosf,338,46762,23381
cosf,338,45178,22589
cosf,338,43594,21797
cosf,338,42010,21005
cosf,338,40426,20213
cosf,338,38780,19390
cosf,338,33402,16701
cosf,338,27996,13998
cosf,338,22182,11091
cosf,338,16404,8202
cosf,338,10592,5296
cosf,338,4820,2410
cosf,338,4802,2401
cosf,338,4790,2395
cosf,338,4782,2391
cosf,338,4782,2391
cosf,338,4772,2386
cosf,338,4764,2382
cosf,338,4748,2374
cosf,338,4782,2391
cosf,338,4788,2394
cosf,338,4792,2396
cosf,338,4832,2416
cosf,338,4808,2404
cosf,338,6384,3192
cosf,338,6312,3156
cosf,338,6322,3161
cosf,338,6290,3145
cosf,338,6330,3165
cosf,338,5924,2962
cosf,338,5882,2941
cosf,338,21936,10968
cosf,338,16558,8279
cosf,338,10768,5384
cosf,338,4904,2452
cosf,338,4770,2385
cosf,338,4748,2374
cosf,338,4952,2476
cosf,338,4758,2379
cosf,338,4788,2394
cosf,338,4900,2450
cosf,338,6390,3195
cosf,338,6312,3156
cosf,338,5886,2943
cosf,338,5866,2933
cosf,338,6286,3143
cosf,338,6366,3183
cosf,338,5950,2975
cosf,338,5818,2909
cosf,338,5806,2903
cosf,338,8282,4141
cosf,338,5812,2906
cosf,338,5824,2912
cosf,338,5928,2964
cosf,338,6366,3183
cosf,338,6306,3153
cosf,338,5876,2938
cosf,338,16016,8008
cosf,338,10614,5307
cosf,338,4802,2401
cosf,338,4782,2391
cosf,338,4748,2374
cosf,338,4792,2396
cosf,338,6384,3192
cosf,338,6290,3145
cosf,338,5882,2941
cosf,338,6310,3155
cosf,338,6284,3142
cosf,338,5850,2925
cosf,338,5820,2910
cosf,338,5830,2915
cosf,338,5860,2930
cosf,338,6300,3150
cosf,338,6330,3165
cosf,338,5866,2933
cosf,338,6264,3132
cosf,338,5822,2911
cosf,338,5820,2910
cosf,338,5832,2916
cosf,338,5856,2928
cosf,338,5860,2930
cosf,338,6284,3142
cosf,338,5892,2946
cosf,338,15996,7998
cosf,338,10618,5309
cosf,338,4794,2397
cosf,338,4758,2379
cosf,338,4812,2406
cosf,338,6270,3135
cosf,338,7222,3611
cosf,338,6246,3123
cosf,338,5830,2915
cosf,338,5796,2898
cosf,338,5842,2921
cosf,338,6338,3169
cosf,338,5880,2940
cosf,338,5860,2930
cosf,338,6316,3158
cosf,338,5832,2916
cosf,338,5808,2904
cosf,338,5854,2927
cosf,338,6228,3114
cosf,338,8372,4186
cosf,338,6242,3121
cosf,338,5830,2915
cosf,338,5804,2902
cosf,338,5832,2916
cosf,338,6338,3169
cosf,338,5876,2938
cosf,338,10626,5313
cosf,338,4812,2406
cosf,338,4764,2382
cosf,338,4832,2416
cosf,338,6290,3145
cosf,338,5898,2949
cosf,338,5866,2933
cosf,338,5820,2910
cosf,338,5830,2915
cosf,338,6310,3155
cosf,338,5866,2933
cosf,338,6274,3137
cosf,338,5820,2910
cosf,338,5856,2928
cosf,338,6250,3125
cosf,338,5866,2933
cosf,338,6300,3150
cosf,338,5820,2910
cosf,338,5830,2915
cosf,338,6380,3190
cosf,338,5900,2950
cosf,338,6260,3130
cosf,338,5848,2924
cosf,338,5812,2906
cosf,338,5834,2917
cosf,338,6312,3156
cosf,338,10556,5278
cosf,338,4770,2385
cosf,338,4758,2379
cosf,338,6390,3195
cosf,338,5866,2933
cosf,338,5950,2975
cosf,338,8282,4141
cosf,338,5928,2964
cosf,338,5876,2938
cosf,338,6346,3173
cosf,338,5796,2898
cosf,338,5844,2922
cosf,338,6280,3140
cosf,338,6284,3142
cosf,338,5814,2907
cosf,338,5812,2906
cosf,338,6382,3191
cosf,338,5866,2933
cosf,338,5916,2958
cosf,338,8482,4241
cosf,338,5926,2963
cosf,338,5874,2937
cosf,338,6392,3196
cosf,338,5802,2901
cosf,338,5822,2911
cosf,338,6274,3137
cosf,338,10562,5281
cosf,338,4782,2391
cosf,338,4832,2416
cosf,338,5918,2959
cosf,338,6294,3147
cosf,338,5804,2902
cosf,338,6374,3187
cosf,338,5866,2933
cosf,338,5820,2910
cosf,338,5856,2928
cosf,338,6284,3142
cosf,338,6312,3156
cosf,338,5820,2910
cosf,338,5830,2915
cosf,338,6324,3162
cosf,338,6280,3140
cosf,338,5822,2911
cosf,338,5834,2917
cosf,338,5870,2935
cosf,338,5838,2919
cosf,338,5818,2909
cosf,338,6258,3129
cosf,338,5904,2952
cosf,338,5824,2912
cosf,338,5816,2908
cosf,338,6264,3132
cosf,338,10504,5252
cosf,338,4748,2374
cosf,338,6340,3170
cosf,338,5866,2933
cosf,338,5832,2916
cosf,338,5840,2920
cosf,338,7216,3608
cosf,338,5828,2914
cosf,338,5868,2934
cosf,338,5864,2932
cosf,338,6318,3159
cosf,338,5814,2907
cosf,338,6264,3132
cosf,338,6230,3115
cosf,338,5802,2901
cosf,338,6310,3155
cosf,338,5880,2940
cosf,338,5832,2916
cosf,338,5836,2918
cosf,338,8374,4187
cosf,338,5820,2910
cosf,338,5838,2919
cosf,338,5866,2933
cosf,338,6328,3164
cosf,338,5814,2907
cosf,338,6260,3130
cosf,338,10566,5283
cosf,338,4748,2374
cosf,338,6290,3145
cosf,338,6284,3142
cosf,338,5830,2915
cosf,338,6330,3165
cosf,338,5822,2911
cosf,338,5856,2928
cosf,338,5892,2946
cosf,338,5822,2911
cosf,338,5830,2915
cosf,338,5896,2948
cosf,338,5848,2924
cosf,338,5858,2929
cosf,338,5886,2943
cosf,338,5824,2912
cosf,338,5840,2920
cosf,338,5904,2952
cosf,338,5806,2903
cosf,338,6344,3172
cosf,338,6298,3149
cosf,338,5828,2914
cosf,338,6290,3145
cosf,338,6268,3134
cosf,338,5804,2902
cosf,338,6288,3144
cosf,338,10622,5311
cosf,338,4758,2379
cosf,338,5886,2943
cosf,338,5818,2909
cosf,338,5928,2964
cosf,338,6280,3140
cosf,338,7150,3575
cosf,338,6280,3140
cosf,338,5918,2959
cosf,338,5824,2912
cosf,338,5866,2933
cosf,338,5804,2902
cosf,338,6360,3180
cosf,338,6392,3196
cosf,338,5812,2906
cosf,338,5860,2930
cosf,338,5804,2902
cosf,338,5918,2959
cosf,338,6284,3142
cosf,338,8428,4214
cosf,338,6282,3141
cosf,338,5918,2959
cosf,338,5816,2908
cosf,338,5878,2939
cosf,338,5806,2903
cosf,338,6358,3179
cosf,338,10570,5285
cosf,338,4792,2396
cosf,338,5898,2949
cosf,338,5804,2902
cosf,338,6330,3165
cosf,338,5844,2922
cosf,338,6350,3175
cosf,338,6300,3150
cosf,338,5830,2915
cosf,338,5866,2933
cosf,338,5822,2911
cosf,338,6268,3134
cosf,338,5830,2915
cosf,338,5840,2920
cosf,338,6262,3131
cosf,338,5834,2917
cosf,338,5866,2933
cosf,338,5816,2908
cosf,338,6300,3150
cosf,338,5834,2917
cosf,338,5860,2930
cosf,338,6324,3162
cosf,338,5816,2908
cosf,338,5900,2950
cosf,338,5808,2904
cosf,338,6268,3134
cosf,338,10632,5316
cosf,338,4812,2406
cosf,338,6246,3123
cosf,338,5842,2921
cosf,338,5860,2930
cosf,338,5808,2904
cosf,338,8372,4186
cosf,338,5804,2902
cosf,338,5876,2938
cosf,338,5832,2916
cosf,338,6248,3124
cosf,338,5824,2912
cosf,338,6310,3155
cosf,338,6314,3157
cosf,338,5830,2915
cosf,338,6252,3126
cosf,338,5842,2921
cosf,338,5866,2933
cosf,338,5812,2906
cosf,338,8564,4282
cosf,338,5808,2904
cosf,338,5868,2934
cosf,338,5820,2910
cosf,338,6238,3119
cosf,338,5808,2904
cosf,338,6306,3153
sinf,502,5022,2511
sinf,502,5340,2670
sinf,502,5022,2511
sinf,502,5886,2943
sinf,502,78626,39313
sinf,502,5340,2670
sinf,502,5216,2608
sinf,502,5022,2511
sinf,502,5234,2617
sinf,502,5886,2943
sinf,502,5864,2932
sinf,502,121504,60752
sinf,502,83064,41532
sinf,502,44646,22323
sinf,502,5340,2670
sinf,502,5258,2629
sinf,502,5216,2608
sinf,502,4824,2412
sinf,502,5022,2511
sinf,502,4830,2415
sinf,502,5234,2617
sinf,502,5248,2624
sinf,502,5886,2943
sinf,502,5886,2943
sinf,502,5864,2932
sinf,502,5860,2930
sinf,502,157510,78755
sinf,502,136022,68011
sinf,502,114600,57300
sinf,502,92820,46410
sinf,502,71234,35617
sinf,502,49468,24734
sinf,502,27572,13786
sinf,502,5340,2670
sinf,502,5320,2660
sinf,502,5258,2629
sinf,502,5180,2590
sinf,502,5216,2608
sinf,502,4828,2414
sinf,502,4824,2412
sinf,502,4824,2412
sinf,502,5022,2511
sinf,502,4830,2415
sinf,502,4830,2415
sinf,502,4846,2423
sinf,502,5234,2617
sinf,502,5214,2607
sinf,502,5248,2624
sinf,502,5310,2655
sinf,502,5886,2943
sinf,502,5878,2939
sinf,502,5886,2943
sinf,502,5848,2924
sinf,502,5864,2932
sinf,502,5856,2928
sinf,502,5860,2930
sinf,502,5850,2925
sinf,502,204216,102108
sinf,502,190990,95495
sinf,502,177694,88847
sinf,502,164250,82125
sinf,502,151106,75553
sinf,502,137710,68855
sinf,502,124560,62280
sinf,502,111380,55690
sinf,502,98206,49103
sinf,502,84776,42388
sinf,502,71596,35798
sinf,502,58286,29143
sinf,502,44998,22499
sinf,502,31876,15938
sinf,502,18670,9335
sinf,502,5340,2670
sinf,502,5292,2646
sinf,502,5320,2660
sinf,502,5268,2634
sinf,502,5258,2629
sinf,502,5318,2659
sinf,502,5180,2590
sinf,502,5204,2602
sinf,502,5216,2608
sinf,502,5236,2618
sinf,502,4828,2414
sinf,502,4800,2400
sinf,502,4824,2412
sinf,502,4824,2412
sinf,502,4824,2412
sinf,502,4824,2412
sinf,502,5022,2511
sinf,502,4830,2415
sinf,502,4830,2415
sinf,502,4830,2415
sinf,502,4830,2415
sinf,502,4806,2403
sinf,502,4846,2423
sinf,502,5254,2627
sinf,502,5234,2617
sinf,502,5238,2619
sinf,502,5214,2607
sinf,502,5340,2670
sinf,502,5248,2624
sinf,502,5248,2624
sinf,502,5310,2655
sinf,502,5282,2641
sinf,502,5886,2943
sinf,502,5894,2947
sinf,502,5878,2939
sinf,502,5876,2938
sinf,502,5886,2943
sinf,502,5902,2951
sinf,502,5848,2924
sinf,502,5862,2931
sinf,502,5864,2932
sinf,502,5866,2933
sinf,502,5856,2928
sinf,502,5848,2924
sinf,502,5860,2930
sinf,502,5850,2925
sinf,502,5850,2925
sinf,502,5920,2960
sinf,502,286172,143086
sinf,502,277160,138580
sinf,502,268178,134089
sinf,502,259216,129608
sinf,502,250176,125088
sinf,502,241242,120621
sinf,502,232238,116119
sinf,502,223122,111561
sinf,502,214112,107056
sinf,502,205072,102536
sinf,502,195944,97972
sinf,502,186894,93447
sinf,502,177894,88947
sinf,502,168930,84465
sinf,502,160106,80053
